-Total- ATOMI: 1702 SCORIE: 1588 SCISSIONI: 1695 ENERGIA PRODOTTA:8548863 ENERGIA CONSUMATA: 8550000 ENERGIA ASSORBITA: 8444521

pid: 4812, parent pid: 4801, scoria: 1, inibito: 0
pid: 4809, parent pid: 4801, scoria: 1, inibito: 0
pid: 4811, parent pid: 4801, scoria: 1, inibito: 0
pid: 4808, parent pid: 4801, scoria: 1, inibito: 0
pid: 4806, parent pid: 4801, scoria: 1, inibito: 0
pid: 4810, parent pid: 4801, scoria: 1, inibito: 0
pid: 4807, parent pid: 4801, scoria: 1, inibito: 0
pid: 4814, parent pid: 4810, scoria: 1, inibito: 0
pid: 4815, parent pid: 4809, scoria: 1, inibito: 0
pid: 4816, parent pid: 4811, scoria: 1, inibito: 0
pid: 4817, parent pid: 4810, scoria: 1, inibito: 0
pid: 4818, parent pid: 4816, scoria: 1, inibito: 0
pid: 4821, parent pid: 4816, scoria: 1, inibito: 0
pid: 4822, parent pid: 4811, scoria: 1, inibito: 0
pid: 4824, parent pid: 4818, scoria: 1, inibito: 0
pid: 4823, parent pid: 4811, scoria: 1, inibito: 0
pid: 4826, parent pid: 4814, scoria: 1, inibito: 0
pid: 4825, parent pid: 4814, scoria: 1, inibito: 0
pid: 4828, parent pid: 4816, scoria: 1, inibito: 0
pid: 4827, parent pid: 4826, scoria: 1, inibito: 0
pid: 4829, parent pid: 4809, scoria: 1, inibito: 0
pid: 4832, parent pid: 4822, scoria: 1, inibito: 0
pid: 4830, parent pid: 4823, scoria: 0, inibito: 0
pid: 4831, parent pid: 4812, scoria: 0, inibito: 0
pid: 4834, parent pid: 4825, scoria: 1, inibito: 0
pid: 4833, parent pid: 4823, scoria: 1, inibito: 0
pid: 4835, parent pid: 4807, scoria: 1, inibito: 0
pid: 4838, parent pid: 4811, scoria: 1, inibito: 0
pid: 4837, parent pid: 4807, scoria: 1, inibito: 0
pid: 4836, parent pid: 4821, scoria: 1, inibito: 0
pid: 4840, parent pid: 4826, scoria: 1, inibito: 0
pid: 4839, parent pid: 4812, scoria: 0, inibito: 0
pid: 4841, parent pid: 4822, scoria: 1, inibito: 0
pid: 4842, parent pid: 4826, scoria: 1, inibito: 0
pid: 4844, parent pid: 4808, scoria: 0, inibito: 0
pid: 4843, parent pid: 4811, scoria: 1, inibito: 0
pid: 4845, parent pid: 4840, scoria: 1, inibito: 0
pid: 4847, parent pid: 4814, scoria: 1, inibito: 0
pid: 4846, parent pid: 4818, scoria: 1, inibito: 0
pid: 4848, parent pid: 4845, scoria: 1, inibito: 0
pid: 4851, parent pid: 4814, scoria: 1, inibito: 0
pid: 4850, parent pid: 4810, scoria: 1, inibito: 0
pid: 4849, parent pid: 4828, scoria: 1, inibito: 0
pid: 4853, parent pid: 4834, scoria: 1, inibito: 0
pid: 4852, parent pid: 4832, scoria: 1, inibito: 0
pid: 4854, parent pid: 4828, scoria: 1, inibito: 0
pid: 4856, parent pid: 4826, scoria: 1, inibito: 0
pid: 4855, parent pid: 4849, scoria: 1, inibito: 0
pid: 4857, parent pid: 4823, scoria: 1, inibito: 0
pid: 4858, parent pid: 4815, scoria: 1, inibito: 0
pid: 4859, parent pid: 4852, scoria: 1, inibito: 0
pid: 4860, parent pid: 4810, scoria: 1, inibito: 0
pid: 4861, parent pid: 4854, scoria: 1, inibito: 0
pid: 4862, parent pid: 4825, scoria: 1, inibito: 0
pid: 4864, parent pid: 4849, scoria: 1, inibito: 0
pid: 4863, parent pid: 4853, scoria: 1, inibito: 0
pid: 4870, parent pid: 4810, scoria: 1, inibito: 0
pid: 4869, parent pid: 4809, scoria: 1, inibito: 0
pid: 4871, parent pid: 4850, scoria: 1, inibito: 0
pid: 4874, parent pid: 4849, scoria: 1, inibito: 0
pid: 4873, parent pid: 4826, scoria: 1, inibito: 0
pid: 4872, parent pid: 4814, scoria: 1, inibito: 0
pid: 4875, parent pid: 4807, scoria: 1, inibito: 0
pid: 4876, parent pid: 4859, scoria: 1, inibito: 0
pid: 4877, parent pid: 4863, scoria: 1, inibito: 0
